
item,itemLabel,itemDescription,enwiki,period,periodLabel,start,end,instance,instanceLabel
http://www.wikidata.org/entity/Q4437641,Abbasids,Muslim Hijaz dynasty,Abbasid dynasty,http://www.wikidata.org/entity/Q11696332,Egypt in the Middle Ages,0750-01-01T00:00:00Z,1517-01-01T00:00:00Z,http://www.wikidata.org/entity/Q133311,tribe
http://www.wikidata.org/entity/Q4437641,Abbasids,Muslim Hijaz dynasty,Abbasid dynasty,http://www.wikidata.org/entity/Q11696332,Egypt in the Middle Ages,0750-01-01T00:00:00Z,1517-01-01T00:00:00Z,http://www.wikidata.org/entity/Q164950,dynasty
http://www.wikidata.org/entity/Q123302241,Carolingian military,forces militars del regne franc sota la dinastia carolíngia,,http://www.wikidata.org/entity/Q12554,Middle Ages,0751-01-01T00:00:00Z,0987-01-01T00:00:00Z,http://www.wikidata.org/entity/Q8473,military
http://www.wikidata.org/entity/Q123302241,Carolingian military,forces militars del regne franc sota la dinastia carolíngia,,http://www.wikidata.org/entity/Q12554,Middle Ages,0751-01-01T00:00:00Z,0987-01-01T00:00:00Z,http://www.wikidata.org/entity/Q772547,armed forces
http://www.wikidata.org/entity/Q1346307,Tenpyō-hōji,Japanese era from 757 to 765,Tenpyō-hōji,http://www.wikidata.org/entity/Q126808488,four-character era name period,0757-01-01T00:00:00Z,0765-01-01T00:00:00Z,http://www.wikidata.org/entity/Q24706,Japanese era name
http://www.wikidata.org/entity/Q1373181,Tenpyō-jingo,Japanese era from 765 to 767,Tenpyō-jingo,http://www.wikidata.org/entity/Q126808488,four-character era name period,0765-01-01T00:00:00Z,0767-01-01T00:00:00Z,http://www.wikidata.org/entity/Q24706,Japanese era name
http://www.wikidata.org/entity/Q1373049,Jingo-keiun,Japanese era from 767 to 770,Jingo-keiun,http://www.wikidata.org/entity/Q126808488,four-character era name period,0767-01-01T00:00:00Z,0770-01-01T00:00:00Z,http://www.wikidata.org/entity/Q24706,Japanese era name
http://www.wikidata.org/entity/Q31929,Carolingian Empire,"800–843 final stage in the history of the early medieval realm of the Franks, ruled by the Carolingian dynasty",Carolingian Empire,http://www.wikidata.org/entity/Q12554,Middle Ages,0768-01-01T00:00:00Z,0887-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3024240,historical country
http://www.wikidata.org/entity/Q1052803,Nagaoka-kyō,human settlement in Japan,Nagaoka-kyō,http://www.wikidata.org/entity/Q189178,Nara period,0784-12-31T00:00:00Z,0794-11-26T00:00:00Z,http://www.wikidata.org/entity/Q839954,archaeological site
http://www.wikidata.org/entity/Q1052803,Nagaoka-kyō,human settlement in Japan,Nagaoka-kyō,http://www.wikidata.org/entity/Q189178,Nara period,0784-12-31T00:00:00Z,0794-11-26T00:00:00Z,http://www.wikidata.org/entity/Q1025961,capital of Japan
http://www.wikidata.org/entity/Q1052803,Nagaoka-kyō,human settlement in Japan,Nagaoka-kyō,http://www.wikidata.org/entity/Q189178,Nara period,0784-12-31T00:00:00Z,0794-11-26T00:00:00Z,http://www.wikidata.org/entity/Q11643523,capital city wall
http://www.wikidata.org/entity/Q2037817,County of Girona,,,http://www.wikidata.org/entity/Q12554,Middle Ages,0785-01-01T00:00:00Z,0897-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3024240,historical country
http://www.wikidata.org/entity/Q2037817,County of Girona,,,http://www.wikidata.org/entity/Q12554,Middle Ages,0785-01-01T00:00:00Z,0897-01-01T00:00:00Z,http://www.wikidata.org/entity/Q58001476,condado
http://www.wikidata.org/entity/Q108804328,Q108804328,,,http://www.wikidata.org/entity/Q12554,Middle Ages,0800-01-01T00:00:00Z,1200-01-01T00:00:00Z,http://www.wikidata.org/entity/Q200141,necropolis
http://www.wikidata.org/entity/Q33018,House of Wisdom,"library, translation institute and research center in medieval Baghdad",House of Wisdom,http://www.wikidata.org/entity/Q745799,Islamic Golden Age,0800-01-01T00:00:00Z,1258-02-19T00:00:00Z,http://www.wikidata.org/entity/Q3914,school
http://www.wikidata.org/entity/Q33018,House of Wisdom,"library, translation institute and research center in medieval Baghdad",House of Wisdom,http://www.wikidata.org/entity/Q745799,Islamic Golden Age,0800-01-01T00:00:00Z,1258-02-19T00:00:00Z,http://www.wikidata.org/entity/Q7075,library
http://www.wikidata.org/entity/Q33018,House of Wisdom,"library, translation institute and research center in medieval Baghdad",House of Wisdom,http://www.wikidata.org/entity/Q745799,Islamic Golden Age,0800-01-01T00:00:00Z,1258-02-19T00:00:00Z,http://www.wikidata.org/entity/Q1664720,institute
http://www.wikidata.org/entity/Q33018,House of Wisdom,"library, translation institute and research center in medieval Baghdad",House of Wisdom,http://www.wikidata.org/entity/Q745799,Islamic Golden Age,0800-01-01T00:00:00Z,1258-02-19T00:00:00Z,http://www.wikidata.org/entity/Q15893266,former entity
http://www.wikidata.org/entity/Q2460755,Kingdom of Sweden,800–1521 historical period of Sweden,History of Sweden (800–1521),http://www.wikidata.org/entity/Q12554,Middle Ages,0800-01-01T00:00:00Z,1521-01-01T00:00:00Z,http://www.wikidata.org/entity/Q3024240,historical country
http://www.wikidata.org/entity/Q2460755,Kingdom of Sweden,800–1521 historical period of Sweden,History of Sweden (800–1521),http://www.wikidata.org/entity/Q12554,Middle Ages,0800-01-01T00:00:00Z,1521-01-01T00:00:00Z,http://www.wikidata.org/entity/Q17544377,history of a country or state
http://www.wikidata.org/entity/Q663258,Spanish march,border territory in the Kingdom of the Franks,Spanish March,http://www.wikidata.org/entity/Q79791,Reconquista,0800-01-01T00:00:00Z,0987-01-01T00:00:00Z,http://www.wikidata.org/entity/Q7695,march
http://www.wikidata.org/entity/Q2445958,House of Toulouse,noble house,House of Toulouse,http://www.wikidata.org/entity/Q12554,Middle Ages,0849-01-01T00:00:00Z,1271-01-01T00:00:00Z,http://www.wikidata.org/entity/Q13417114,noble family
