qid,label,subclass_of,subclass_of_label,lcsh_id,fast_id,lcc,ddc
Q420,biology,Q7991|Q864928,natural science|life sciences,sh85014203,832383,,570
Q327092,biomedical engineering,Q11023|Q864601,engineering|biomedicine,sh85014237,,,610.28|681.761
Q189131,bionics,Q11023|Q420,engineering|biology,sh85014250,,,003.5
Q7100,biophysics,Q113212772|Q413|Q420,medical and biological physics|physics|biology,sh85014253,,,571.4|612.014
Q214746,biostatistics,Q12483|Q420|Q67364833,statistics|biology|biometry,sh85014244,,,
Q7108,biotechnology,Q11016,technology,sh85014263,832729,,660.6
Q136352,bird anatomy,Q10818163|Q8198634,vertebrate anatomy|animal anatomy,sh85014311,,QL697|SF767.B57,
Q1416259,body psychotherapy,Q183257,psychotherapy,,,,615.851|616.8914
Q104373905,bog ecology,Q104373908,peatland ecology,sh85015286,835539,QH541.5.B63,
Q441,botany,Q420,biology,sh85015976,836869,,580
Q104373884,brackish water ecology,Q104196941,aquatic ecology,sh93007823,837478,QH541.5.E8,
Q108226334,braided river ecology,Q104780697|Q7150,stream ecology|ecology,sh2009007945,1748955,,
Q899719,bryology,Q441,botany,sh85017378,,,588.2
Q24208053,business economics,Q3296256|Q5001951,applied economics|business studies,,,,330
Q4676302,Canadian studies,Q1277348|Q27968|Q928786,Romance studies|English studies|area studies,,,,427.971|810
Q107278510,canal ecology,Q104193250|Q104196941|Q7150,branch of ecology|aquatic ecology|ecology,sh85019430,845222,QH541.5.C24,
Q188462,canon law,Q670732|Q7748,religious law|law,sh85019646,,,262.9
Q10379,cardiology,Q11190|Q113129005,medicine|cardiovascular medicine and haematology,sh85020214,,,616.12
Q741939,career counseling,Q4390239,counseling,sh85144186,,,331.702
Q42515,cartography,Q1071|Q8008,geography|Earth science,sh85020515,,,526
Q1735721,catechetics,Q1383443,practical theology,sh85020974,,,
Q104416694,cave ecology,Q104800917,underground ecology,sh85021494,849889,QH541.5.C3,
Q7141,cell biology,Q420,biology,,,QH573-QH671,611
Q700919,chemical ecology,Q2329|Q7150,chemistry|ecology,sh91002611,852881,,
Q83588,chemical engineering,Q11023,engineering,sh85022900,852893,,660
Q911772,chemical technology,Q11016|Q11491273,technology|applied chemistry,sh85023029,,,
Q2329,chemistry,Q14632398,physical science,sh85022986,,,540
Q910067,chemometrics,Q12483|Q2329|Q2539,statistics|chemistry|machine learning,sh2005000482,,,543.015195
Q407784,child development,Q2347178,development of the human body,sh2001002085,854393,,
Q133908,Chinese historiography,Q50675,historiography,sh2008100544,,,
Q2665156,Christian ethics,Q14254438|Q216545|Q4392985,religious ethics|Christian theology|religious identity,,,BJ1188.5-BJ1278.5|BV4622-BV4780,
Q1800439,church history,Q216545|Q846742,Christian theology|history of religions,sh85025619,860740,,
Q837313,civics,Q34749,social science,sh85026302,,LB1139.5.S64,
Q77590,civil engineering,Q11023|Q136580777,engineering|civil and environmental engineering,sh85026331,,,624
Q495527,classical philology,Q40634|Q841090,philology|classics,sh85026710,,,480
Q107278364,cliff ecology,Q7150,ecology,sh99000303,864216,QH541.5.C62,
Q52139,climatology,Q25261|Q43518|Q52107|Q5334416,meteorology|oceanography|physical geography|atmospheric physics,sh85027044,,,551.6
Q4388032,clinical medicine,Q11190,medicine,sh85083129,,,616|616.075|618.92|636.0896
Q104200509,coastal ecology,Q7150,ecology,sh85027431,865723,,
Q119204227,college teaching,Q352842,teaching,sh85028395,,,
Q26643,commerce,Q8134,economics,,,,380
Q1078351,communication science,Q34749|Q80083,social science|humanities,,,,302.2
Q741338,comparative law,Q4932206,jurisprudence,sh85029299,,,340.2
Q878226,comparative linguistics,Q8162,linguistics,sh85029301,,P143-P143.3,410
Q182557,computational linguistics,Q12553063|Q21198,mathematical linguistics|computer science,sh85077224,,,006.35
Q428691,computer engineering,Q11023,engineering,sh85029495,,,004|621.39
Q21198,computer science,Q816264,formal science,sh89003285,872451,,004
Q214781,condensed matter physics,Q21213340|Q413,continuum physics|physics,sh85030765,,,530.41
Q1640893,conflict management,Q2920921,management,sh85030958,,,303.69
Q105497417,conservation education,Q948732,environmental education,sh85031260,875552,,
Q833495,consumer choice,Q1416170|Q8134,preference|economics,sh85031496,876441,,
Q104376880,coral reef biology,Q7173,marine biology,sh85032521,878839,QH95.8,
Q104376780,coral reef ecology,Q104376784|Q104376880,reef ecology|coral reef biology,sh85032522,878847,QH541.5.C7,
Q1134763,corporate finance,Q4738155,financial management,sh85032938,,,658.15
Q2609670,corporate law,Q7748,law,sh85032912,,,
Q338,cosmology,Q333,astronomy,sh85033169,880600,,113|523.1
Q16331597,costume design,Q82604,design,sh85033269,880794,PN2067,
Q105375581,coulee ecology,Q104780631|Q104780697|Q7150,valley ecology|stream ecology|ecology,sh85033397,881177,QH541.5.C73,
Q4390239,counseling,Q11024|Q11588306|Q183257|Q5710255,communication|social services|psychotherapy|helping behavior,sh85033421,,,
Q586060,creative writing,Q37260,writing,sh85033847,882489,,808.02|808.3
Q3624786,criminal anthropology,Q6656244,anthropometry,sh85034032,,,364.2
Q161733,criminology,Q34749,social science,sh89002994,,HV6001-HV7220.5,364
Q160398,crystallography,Q228736|Q2346|Q83353,materials science|analytical chemistry|mineralogy,sh85034498,884652,,548
Q28598,cultural anthropology,Q23404,anthropology,,,,305.8
Q123637,cybernetics,Q682496,systems engineering,sh85035046,,Q300-Q390,003.5
Q104774297,cypress swamp ecology,Q104200524|Q7150,swamp ecology|ecology,sh85035170,886131,QH541.5.C95,
Q3009579,cytology,Q420,biology,sh85035240,,,
Q2393450,dance studies,Q1143546|Q944537,cultural studies|Geisteswissenschaften,,,,792.8
Q5215311,dance theory,Q17737|Q2393450,theory|dance studies,sh2020007994,,,
Q177571,decision theory,Q12483|Q17737|Q5862903|Q8134,statistics|theory|probability theory|economics,,,QA279.4-QA279.7,003.56
Q104774372,deep-sea ecology,Q4530312|Q7150,marine ecology|ecology,sh85036380,889505,QH541.5.D35,
Q37732,demography,Q1071|Q34749,geography|social science,sh85036659,,,304.6
Q12128,dentistry,Q11190|Q31207,medicine|health care,sh85036953,,,617|617.6
Q171171,dermatology,Q113129019|Q843601,clinical sciences|health sciences,sh85037090,,,616.5
Q5264064,desert ecology,Q105375725|Q7150,arid regions ecology|ecology,sh85037134,891153,QH541.5.D4,
Q82604,design,Q104637332|Q1519454|Q1914636,planned process|design|activity,sh85037197,,,729|745.4
Q2347178,development of the human body,Q12147|Q21201|Q41805950|Q8434,health|sociology|animal development|education,sh85062879,,,
Q146893,dialectology,Q8162,linguistics,sh85037526,,,417|417.2
Q2177756,diplomatic history,Q55022436,history of international relations,sh2005003436|sh99005617,,,
Q180634,distributed computing,Q179310|Q21198|Q232661,computing|computer science|parallel computing,sh85042293,906987,,004.36
Q3630257,dynamic geology,Q128894857|Q46255,physical geology|geophysics,sh85053976,940406,,
Q130217834,dynamic meteorology,Q25261,meteorology,sh85040311,,,
Q8008,Earth science,Q107287417|Q7991,earth and planetary science|natural science,sh85040468,900729,,550
Q2363192,ecohydrology,Q42250|Q7150,hydrology|ecology,sh00000251,901439,,
Q7150,ecology,Q5333289,ecology and evolutionary biology,sh85040752|sh99005735,,,577
Q17119209,ecomusicology,Q164204,musicology,sh2015001664,1923039,,
Q160039,econometrics,Q1193625,social science methodology,sh85040763,,,330.015195
Q27841,economic anthropology,Q23404,anthropology,sh85040766,,GN448-GN450.8,306.3
Q853915,economic geology,Q1069,geology,sh85054085,940720,,553
Q3391448,economic planning,Q309100|Q34749,planning|social science,,,,338.9
Q582577,economic policy,Q546113,public policy,sh85040837|sh99005752,902025,HD87-HD87.55,338.9
Q8134,economics,Q34749,social science,sh85040850,902116,HB1-HB130,330
Q295425,ecophysiology,Q521|Q7150,physiology|ecology,sh91006274,,,
Q295465,ecosophy,Q5891,philosophy,sh85040755,,,
Q920939,ecotheology,Q34178,theology,sh2008002852,,,
Q5341272,educational anthropology,Q23404,anthropology,sh85041108,,,
Q145903,Egyptology,Q23498|Q4752891,archaeology|ancient Near Eastern studies,sh85041367,,,493.1|893.1|932
Q43035,electrical engineering,Q11023,engineering,sh85041666,,,621.3
Q383973,electricity generation,Q10843872|Q3406659|Q43035,process|energy production|electrical engineering,sh85041913,,,
Q11650,electronics,Q2695280,technique,sh85042383,907538,,537
Q2861470,emergency medicine,Q11190|Q113129019|Q123028|Q614304,medicine|clinical sciences|pediatrics|pharmacy,sh85042755,,,616.025
Q162606,endocrinology,Q11180|Q113129019|Q420,internal medicine|clinical sciences|biology,sh85043068,,,573.4
Q11023,engineering,Q28797,applied science,sh85043176,,,620
Q27968,English studies,Q11790583|Q40634,modern philology|philology,sh85043929,912245,PE,420|820
Q39286,entomology,Q3520855,arthropodology,sh85044125,,,595.7
Q948732,environmental education,Q2353731|Q7922,upbringing|pedagogy,sh85044169,,,333.7071
Q146326,environmental engineering,Q11023|Q136580777,engineering|civil and environmental engineering,sh85044170,912934,,628
Q111315052,environmental geography,Q1071,geography,sh99004421,,,
Q328798,environmental law,Q110590221|Q55714778|Q7748,environmental regulation by humans|natural resources law and international environmental law|law,sh85044184,,,
Q919526,environmental policy,Q110590221|Q546113,environmental regulation by humans|public policy,sh85044197,913250,,333.72
Q929380,environmental resource management,Q29017603|Q2920921|Q65246763,control|management|environmental management,sh95010683,,,
Q188847,environmental science,Q8008,Earth science,sh92004048,,,333.7|500
Q2880775,enzymology,Q7094,biochemistry,sh96010093,913635,,572.7|616.0756
Q1750812,ergonomics,Q11023,engineering,sh85062867,,,004.019|005.019|620.82|621.3984
Q104775885,estuarine ecology,Q104373884|Q104780697|Q7150,brackish water ecology|stream ecology|ecology,sh85045034,915685,QH541.5.E8,
Q9465,ethics,Q5891,philosophy,sh85045096,,BJ1-BJ1725,170
Q841408,ethnobotany,Q43455|Q441,ethnology|botany,sh85045192,,,
Q1371429,ethnoecology,Q108352346|Q43455|Q7150,indigenous studies|ethnology|ecology,sh2001000104,,,
Q2181985,ethnohistory,Q1066186|Q29051,study of history|social anthropology,sh88002742,,,
Q853085,ethnolinguistics,Q28598|Q8162,cultural anthropology|linguistics,,,,306.44
Q43455,ethnology,Q1143546|Q28598,cultural studies|cultural anthropology,sh85045198,916106,,305.8
Q12572036,ethnopsychology,Q9418,psychology,sh85045425,,GN502-GN519,155.82
Q7155,ethology,Q431|Q475042,zoology|experimental psychology,sh85005162,809079,,
Q208365,etnomusicology,Q132151|Q164204,ethnography|musicology,sh85045421,,,305.8|780|780.89
Q1371704,etruscology,Q23498|Q8162,archaeology|linguistics,sh85045469,,,937.501
Q219695,evolutionary psychology,Q11640129|Q9418,theory of evolution|psychology,,,BF698.95,
Q113207671,excited state chemistry,Q11372,physical chemistry,sh85046244,917720,QD461.5,
Q18366,experimental physics,Q413|Q5769081,physics|experimental science,,,,530.078
Q623006,family economics,Q117742678|Q8134,family science|economics,sh95007409,,,
Q870449,family therapy,Q183257|Q3505712,psychotherapy|family medicine,sh85047061,,,616.89156|618.9289156
Q5442878,feminist anthropology,Q23404,anthropology,sh93006951,,,
Q104780304,fen ecology,Q104373908|Q7150,peatland ecology|ecology,sh2011004069,1893721,,
Q4994861,fiction writing,Q586060,creative writing,sh85048057,,,
Q2294553,financial economics,Q268592|Q8134,industry|economics,,,,332
Q4738155,financial management,Q852740,management,sh85018286,,,
Q484181,fiqh,Q11022655|Q482752|Q670732,case law|sharia|religious law,sh85068454,979949,,
Q1409472,fire ecology,Q113114755|Q7150,ecological applications|ecology,sh85048479,925297,,
Q567716,fire protection engineering,Q11023,engineering,sh98003737,925515,,
Q109276098,fish genetics,Q110310405|Q60242,animal genetics|ichthyology,sh85048766,926487,,
Q5454658,fish physiology,Q2432331|Q60242,zoophysiology|ichthyology,sh85048793,926577,QL639.1,
Q17013672,fish reproduction,Q3427333|Q5454658,animal reproduction|fish physiology,sh85048800,926594,,
Q5454893,fisheries management,Q5283295,administration,sh85048696,,,
Q104780425,fjord ecology,Q104200509|Q4530312|Q7150,coastal ecology|marine ecology|ecology,sh95007651,926896,QH541.5.F56,
Q104780569,floodplain ecology,Q104780631|Q20417087|Q7150,valley ecology|freshwater ecology|ecology,sh85049162,927542,QH541.5.V3,
Q107708708,flower morphology,Q655362,plant morphology,sh85049342,927888,,
Q172145,fluid mechanics,Q193463,continuum mechanics,sh85049383,927999,,532
Q132116,folkloristics,Q28598,cultural anthropology,sh85050150,,,398.092
Q1637030,food science,Q123518019|Q336|Q83588,food and nutritional science|science|chemical engineering,sh2018000786,,,
Q1039642,food technology,Q1637030,food science,,,,664
Q28065,forensic anthropology,Q23404|Q495304,anthropology|forensic science,sh85050537,,,614.17
Q1328688,forensic biology,Q420|Q495304,biology|forensic science,sh2006002547,1739926,,
Q108570409,forensic forestry,Q38112|Q495304,forestry|forensic science,sh2021003625,,,
Q105459634,forensic proteomics,Q471857|Q60740595,proteomics|forensic genetics,sh2020000086,,RA1057.57,
Q495304,forensic science,Q336,science,sh90001487,932011,,363.25|614.1
Q105427882,forest canopy ecology,Q2249329|Q7150,forest ecology|ecology,sh94007515,,QH541.5.F6,
Q2249329,forest ecology,Q19924411|Q7150,forestry science|ecology,sh85050575,932104,,577.3
Q105552831,forest hydrology,Q19924411|Q42250,forestry science|hydrology,sh85063461,1715752,GB842,
Q38112,forestry,Q11023|Q1801887,engineering|agriculture and forestry,sh85050707,,SD1-SD669.5,634.9
Q19924411,forestry science,Q110231626|Q16021386|Q173113|Q28797|Q3606845|Q372561,"agricultural, veterinary and food sciences|forestry engineer|agronomy|applied science|agricultural science|forest management",sh88003739,,,
Q3306816,freshwater biology,Q1130698|Q165838|Q5728861,hydrobiology|limnology|aquatic biology,sh85051943,,,
Q20417087,freshwater ecology,Q104196941,aquatic ecology,sh85051944,935020,QH541.5.F7,
Q104825374,fungal ecology,Q7150,ecology,sh85052443,936308,QK604.2.E26,
Q111679581,fungal physiology,Q521|Q7175,physiology|mycology,sh85052453,936333,QK601,
Q104783369,fynbos ecology,Q104783371|Q7150,shrubland ecology|ecology,sh91006264,936824,,
Q1995140,galaxy formation and evolution,Q37547,astrophysics,sh85052765|sh94008658,,,
Q1144718,gas kinetics,Q216320|Q8424|Q95326007,fluid dynamics|aerodynamics|gas flow,sh85053291,,,533.2
Q171141,gastronomy,Q1495452|Q2095,hospitality industry|food,sh85053492,938901,,338.4764795
Q944537,Geisteswissenschaften,Q1587903|Q336,human science|science,,,,001.3
Q1124169,genetic counseling,Q4390239,counseling,sh85053853,,RB155.7,
Q7162,genetics,Q420,biology,sh85053877,,,576.5
Q222046,genomics,Q158666|Q177005|Q7162,omics|computational biology|genetics,sh2002000809,,,
Q1456948,geobotany,Q441,botany,,,,581.7
Q161764,geochemistry,Q2329|Q8008,chemistry|Earth science,sh85053960,,,551.9
Q131089,geodesy,Q8008,Earth science,sh85053969,,,526.1
Q1071,geography,Q336,science,sh00005919,,,372.891|372.892|910
Q1069,geology,Q7991|Q8008,natural science|Earth science,sh85054037,940627,,550|551
Q2466,geology of Mars,Q126733835|Q751439,areology|planetary geology,sh85081556,,,
Q1648514,geology of the Moon,Q126181255|Q751439,selenology|planetary geology,sh85078856,,,
Q619798,geomatics,Q1870019|Q21198,spatial science|computer science,sh99004272,,,
Q52109,geomorphology,Q52107,physical geography,sh85054165,940955,,551.41
Q46255,geophysics,Q104499|Q413,planetary science|physics,sh85054185,,,550
Q159385,geopolitics,Q166542,international relations,sh85054192,,JC319,320.12
Q10384,geriatrics,Q10387|Q11190|Q2518253,gerontology|medicine|health services research,sh85054315,,,618.97
Q76996465,German philology,Q166153|Q40634,German studies|philology,sh85054411,,,
Q166153,German studies,Q2620112,Germanic philology,,,,430|830
Q15805624,German-language poetry,Q482,poetry,sh85054413,941930,,831
Q2620112,Germanic philology,Q11790583|Q1377029,modern philology|European studies,sh85054442,,,
Q2725393,global health,Q189603,public health,sh85148199,1181338,RA441,
Q5570874,global politics,Q7163,politics,sh85148216,,,
Q8091,grammar,Q367293|Q8162,convention|linguistics,sh85056259,,,415
Q131476,graph theory,Q17737|Q395,theory|mathematics,sh85056471,,QA166-QA166.249,511.5
Q185925,graphic design,Q82604,design,,,,760
Q104800105,grassland ecology,Q7150,ecology,sh85056524,946801,QH541.5.P7,
Q972132,Greek epigraphy,Q16267481|Q1669589,Greek studies|classical archaeology,,,,481.1
Q16267481,Greek studies,Q495527,classical philology,sh85057184,,,480|880
Q104800843,groundwater ecology,Q104800917|Q20417087,underground ecology|freshwater ecology,sh94002922,948336,QH541.5.G76,
Q1221899,gynaecology,Q843601,health sciences,sh85058092,949684,,618
Q12147,health,Q16681739|Q19829125|Q7189713,normality|absence|physiological condition,sh85059518,952743,,610
Q1137608,health administration,Q2920921|Q3754526,management|government administration,sh85059600,,,
Q31218,health economics,Q8134,economics,sh85082915,,RA410-RA410.9,338.473621
Q870895,health informatics,Q11190|Q21198,medicine|computer science,sh89005069,1014175,,610.285
Q1519812,health policy,Q546113|Q843601,public policy|health sciences,sh85083002,,,
Q843601,health sciences,Q28797|Q864928,applied science|life sciences,,,,610
Q18336,heraldry,Q770723,auxiliary science of history,,,,929.6
Q102686,hermeneutics,Q5891,philosophy,sh00006024,,,121.68
Q1109432,hispanism,Q1277348|Q2198855,Romance studies|cultural movement,sh85126190,,,
Q358120,historical anthropology,Q23404,anthropology,sh2008009851,,,
Q754590,historical geology,Q1069,geology,sh85061190,,,
Q190375,historical linguistics,Q8162,linguistics,sh85061192,,P140-P143.3,417
Q47491145,historical phonology,Q190375|Q35395|Q40998,historical linguistics|phonetics|phonology,sh2002006230,,,
Q50675,historiography,Q109023778,epistemology of history,sh00006046|sh85061211,958221,D13-D15,907.2
Q50056,history of astronomy,Q1066186|Q56296765,study of history|history of natural science,sh2008117630,,,
Q7787,history of Europe,Q200325,human history,,,,940
Q7778,history of France,Q7787,history of Europe,sh85051256,,,944
Q122131,history of Germany,Q7787,history of Europe,sh85054524,,,943
Q7794,history of Greece,Q7787,history of Europe,sh85057073,,,949.5
Q570018,history of ideas,Q309|Q5891|Q858517,history|philosophy|cultural history,sh85067166,,,001.09
Q55022436,history of international relations,Q1147507|Q6457238,political history|world history,sh2005003436,,,
Q7791,history of Italy,Q7787,history of Europe,sh85068936,,,945
Q380274,history of medicine,Q201486,history of science,sh85083080,,,
Q199569,history of Poland,Q7787,history of Europe,sh85104014,,,
Q7790,history of Portugal,Q7787,history of Europe,sh85105246,,,946
Q846742,history of religions,Q1066186,study of history,sh85112553,,,
Q646206,history of Rome,Q7791,history of Italy,sh85115198,,,
Q201486,history of science,Q1066186|Q309,study of history|history,,,,509
Q7781,history of Spain,Q7787,history of Europe,sh85126069,,,946
Q104731094,history of the Weimar Republic,Q122131,history of Germany,sh85054589,,DD237,
Q1038158,homiletics,Q1383443|Q81009,practical theology|rhetoric,sh85106171,,,251
Q1495452,hospitality industry,Q268592,industry,sh88004814,,,338.4764794|338.4764795
Q64809639,hotel management,Q2920921,management,sh85062482,,,
Q134986538,human bioclimatology,Q1898366,bioclimatology,sh85027048,,,
Q720858,human ecology,Q7150,ecology,sh85062856,,,
Q83944,human evolution,Q1063|Q7206,evolution|paleoanthropology,sh85062868,963030,GN281-GN289,
Q12831143,human geography,Q1071|Q33122512,geography|social sciences and humanities,sh85005570,,,304.2
Q80083,humanities,Q33122512,social sciences and humanities,sh85062913,963588,,001.3
Q207434,human–computer interaction,Q118189170|Q21198|Q97008347,human-machine interaction|computer science|interaction science,sh88003229,963494,QA76.9.H85,
Q1130265,hydraulic engineering,Q77590,civil engineering,sh85063305,,,627
Q912065,hydrochemistry,Q161764|Q42250,geochemistry|hydrology,sh85145539,1171592,GB855|GB857.3,
Q179509,hydrogeology,Q1069|Q42250,geology|hydrology,sh85063439,965077,,551.49
Q182468,hydrography,Q1071|Q8008,geography|Earth science,sh85063443,,,551.46
Q42250,hydrology,Q336,science,sh85063460,,,551
Q101929,immunology,Q123028|Q420|Q864601,pediatrics|biology|biomedicine,sh86002614,,,571.96
Q376022,Indian philosophy,Q5891,philosophy,sh85100930,,,181.4
Q1413128,Indo-European studies,Q8162,linguistics,sh85065705,,,
Q6745636,industrial chemistry,Q2329|Q3958441,chemistry|economic sector,,,,660
Q243606,industrial design,Q8187769|Q82604,economic activity|design,sh85037199,,,745.2
Q1662013,industrial management,Q2920921,management,sh85065889,,,
Q16937537,informatics engineering,Q11023,engineering,sh85042302,,,
Q5268834,information and communications technology,Q11016,technology,sh87002293,,,
Q679789,information literacy,Q8236,literacy,sh00007046,,ZA3075-ZA3080,028.7
Q579488,information management,Q16387,information science,sh85066147,,ZA3085.5,
Q16387,information science,Q336,science,sh85066150,972640,,000
Q11165,inorganic chemistry,Q2329,chemistry,sh85023017,,,546
Q11180,internal medicine,Q11190,medicine,sh85067347,,,616
Q113801539,international business research,Q2043282|Q24208053,business administration|business economics,,,,650|658.18
Q47417,international economics,Q8134,economics,sh85067395,,,337
Q4394526,international law,Q7748,law,sh85067417,,KZ,341
Q166542,international relations,Q1762091|Q36442,international politics|political science,sh85067435,977053,,327
Q1516555,intersectionality,Q1662673|Q4932206|Q49773|Q745692,gender studies|jurisprudence|social movement|political sociology,sh2017003056,1982537,,
Q6057206,intertidal ecology,Q105081301|Q7150,seashore ecology|ecology,sh85067534,977566,QH541.5.S35,
Q107556940,invertebrate ecology,Q10900987|Q7150,animal ecology|ecology,sh2006006862,978121,QL364.4,
Q1367176,Iranian studies,Q12211529,Middle Eastern studies,sh85067916,,,491.5|891.5
Q15141361,irenology,Q36442,political science,sh85098946,,,
