qid,label,subclass_of,subclass_of_label,part_of,part_of_label,has_parts,has_parts_label,fast_id,gnd_id,lcsh_id,ddc,aat_id,babelnet_id,kbpedia_id,world_history_id,lcc,flag_reason
Q124377625,3D web cartography,Q124377615,web cartography,,,,,,,,,,,,,,
Q136439567,A-Level Law,,,Q379609,GCE Advanced Level,,,,,,,,,,,,
Q136909490,AI Deployment Architecture (AIDA),Q477538|Q11660|Q5403493|Q13600188,systems architecture|artificial intelligence|ethics of technology|conceptual framework,,,,,,,,,,,,,,
Q136439579,AS Level Law,,,Q379609,GCE Advanced Level,,,,,,,,,,,,
Q113192749,"Aboriginal and Torres Strait Islander culture, language and history",Q108352346|Q113211688,indigenous studies|traditional Aboriginal and Torres Strait Islander knowledges,,,Q61270168|Q205143|Q5864946,Indigenous Australian culture|Australian Aboriginal languages|history of Indigenous Australians,,,,,,,,,,
Q113211377,Aboriginal and Torres Strait Islander education,Q108352346|Q113211688|Q7922,indigenous studies|traditional Aboriginal and Torres Strait Islander knowledges|pedagogy,,,,,,,,,,,,,,
Q109984809,Aboriginal and Torres Strait Islander environmental conservation,Q832237|Q109984814,environmental protection|Aboriginal and Torres Strait Islander studies,,,,,,,,,,,,,,
Q113212087,Aboriginal and Torres Strait Islander environmental knowledges and management,Q108352346|Q113211688|Q188847,indigenous studies|traditional Aboriginal and Torres Strait Islander knowledges|environmental science,,,,,,,,,,,,,,
Q109984820,Aboriginal and Torres Strait Islander land and water management,Q109984814|Q2001056|Q1501619,Aboriginal and Torres Strait Islander studies|land management|water management,,,,,,,,,,,,,,
Q113192756,Aboriginal and Torres Strait Islander men’s health and wellbeing,Q16150995,Indigenous health in Australia,,,,,,,,,,,,,,
Q113212205,"Aboriginal and Torres Strait Islander peoples, society and community",Q108352346|Q113211688|Q21201,indigenous studies|traditional Aboriginal and Torres Strait Islander knowledges|sociology,,,,,,,,,,,,,,
Q116921934,Aboriginal and Torres Strait Islander research methods,,,,,,,,,,,,,,,,
Q113212245,Aboriginal and Torres Strait Islander sciences,Q108352346|Q113211688|Q336,indigenous studies|traditional Aboriginal and Torres Strait Islander knowledges|science,,,,,,,,,,,,,,
Q109984814,Aboriginal and Torres Strait Islander studies,Q108352346,indigenous studies,,,,,,,,,,,,,,
Q65007471,Academic English Studies and Linguistics,,,,,,,,,,,,,,,,
Q15995649,Accounting research,,,,,,,,,,,,,,,,
Q634839,Act of Abjuration,,,Q205317|Q238533|Q7781,history of Belgium|history of the Netherlands|history of Spain,,,,,,,,,,,,
Q4680725,Adaptive coding,Q1345239,entropy coding,,,,,,,,,,,,,,
Q4686227,Advanced Management Program,,,,,,,,,,,,,,,,
Q123172092,Aerogeophysics,,,Q46255,geophysics,,,,,,,,,,,,
Q112898786,"Aesthetics, philosophy and history of art",,,,,,,,,,,,,,,,
Q383968,African American studies,Q1143546,cultural studies,,,,,,,sh85001992,,,,AfricanAmericanStudies,,,regional_language_variant
Q109018541,African civilization,Q8432,civilization,,,,,,,,,,,,,,
Q37542,African studies,,,,,,,,,,,,,,,,
Q38157,African studies,Q928786,area studies,,,,,,4122766-9,,,300389815,,AfricanStudies,,,
Q119021657,Africanistics,Q40634|Q38157,philology|African studies,,,,,,4122766-9,,,,,,,,
Q137194923,Afroasiatic studies,Q38157|Q4806809,African studies|Asian studies,,,,,,,,,,,,,,
Q120187797,Aglipayan ecclesiology,Q223693,ecclesiology,Q223693,ecclesiology,,,,,,,,,,,,
Q110231638,Agricultural biotechnology diagnostics (incl. biosensors),,,,,,,,,,,,,,,,
Q110252149,Agricultural marine biotechnology,Q882463,marine biotechnology,,,,,,,,,,,,,,
Q110295506,Agricultural molecular engineering of nucleic acids and proteins,Q19595794|Q3523861,agricultural biotechnology|molecular engineering,,,,,,,,,,,,,,
Q110252314,Agricultural production systems simulation,,,,,,,,,,,,,,,,
Q110252322,Agricultural spatial analysis and modelling,Q1938983|Q11451,spatial analysis|agriculture,,,,,,,,,,,,,,
Q110252240,"Agriculture, land and farm management",Q110231626,"agricultural, veterinary and food sciences",,,Q11451|Q2001056|Q1407914,agriculture|land management|farm management,,,,,,,,,,
Q120407434,Ainu literature,Q15945785,East Asian literature,Q15945785,East Asian literature,,,,,sh91000215,,,,,,,
Q135984617,Aisentica,,,Q135984206,The Theory of the Postsubject,,,,,,,,,,,,
Q25482005,Al-Farabi studies,,,,,,,,,,,,,,,,
Q115669282,Algerian studies,,,,,,,,,,,,,,,,
Q4724367,Algorithmic mechanism design,Q26090,mechanism design,,,,,,,,,,,,,,
Q106595016,American Indian law,Q4932206|Q7748,jurisprudence|law,,,,,969825,,sh85065315,,,,,,,
Q98822785,American ethnic studies,Q41870,ethnic studies,,,,,,,,,,,,,,
Q233762,American literature,Q116476,Western literature,Q113128838,North American literature,,,807113,,sh85004336,810,,01263633n,,,PS,regional_language_variant
Q25340364,American literature,Q58854,literary criticism,Q470125,American studies,,,,,sh85004336,,,,,,,regional_language_variant
Q104203314,American literature and culture,,,,,Q25340364|Q1044835,American literature|culture of the United States,,,,,,,,,,
Q16147165,American political science,,,,,,,,,,,,,,,,
Q470125,American studies,Q928786,area studies,,,,,,4142196-6,,427.973|810,,,AmericanStudies,,,regional_language_variant
Q110164233,Americanism,,,,,,,,,,,,,,,,
Q3615122,Anatolian studies,Q4752891,ancient Near Eastern studies,,,,,,,,,,,,,,
Q112800417,Ancient Cultures,,,Q33122512,social sciences and humanities,,,,,,,,,,,,
Q20072760,Ancient culture,Q486761,classical antiquity,Q11042,culture,,,,,,,,,,,,
Q115669295,Angolan studies,,,,,,,,,,,,,,,,
Q112939936,Animal cell and molecular biology,Q7141|Q7202|Q431,cell biology|molecular biology|zoology,,,,,,,,,,,,,,
Q111327232,Animal neurobiology,,,Q431|Q2728012,zoology|neurobiology,,,,,,,,,,,,
Q110295623,Animal protection (incl. pests and pathogens),Q80962,animal husbandry,,,,,,,,,,,,,,
Q125804035,Antisemitism studies,,,,,,,,,,,,,,,,
Q55586011,Applied Inter-American Studies,,,,,,,,,,,,,,,,
Q30082957,Arabian philology,Q40634,philology,,,,,,,,,,,,,,
Q85873793,Arabic Language Studies,Q8162,linguistics,,,,,,,,,,,,,,
Q194380,Arabic literature,Q8242,literature,,,,,,7507689-5,sh85006314,892.7,,,ArabicLiterature,,,
Q3621186,Arabic studies,Q476294,oriental studies,Q476294|Q1143546|Q2142577,oriental studies|cultural studies|Semitic studies,Q757248,papyrology,,4142845-6,,892.7|492.7,,,ArabicStudies,,,
Q625699,Aramaic  studies,Q2142577,Semitic studies,,,,,,7725067-9,,,,,,,,
Q110408083,Archaeology of New Guinea and Pacific Islands (excl. New Zealand),Q110408063|Q23498,"Pacific Peoples culture, language and history|archaeology",,,,,,,,,,,,,,
Q112913855,"Architectural history, theory and criticism",Q12271,architecture,,,Q47537|Q8180985|Q635319,architectural theory|history of architecture|architecture criticism,,,,,,,,,,
Q4787060,Architectural management,,,,,,,,,,,,,,,,
Q4787572,Arctic geoengineering,Q921851,geoengineering,,,,,,,,,,,,,,
Q513850,Armenian studies,Q12211529,Middle Eastern studies,,,,,,,,,,,ArmenianStudies,,,
Q114029871,Aromanian studies,,,,,,,,,,,,,,,,
Q12778063,Art studies,Q944537,Geisteswissenschaften,Q113296040,"Art, Music, Theatre and Media Studies",,,,,,,,,,,,
Q119441624,Arthurian Studies,Q208217,literary studies,,,,,,,,,,,,,,
Q25305034,Artificial economics,Q8134,economics,,,,,,,,,,,,,,
Q4801532,Arts in education,,,,,,,,,,,,,,,,
Q137303847,Arts in health,Q189603|Q5690958,public health|health humanities,Q189603|Q5690958,public health|health humanities,,,,,,,,,,,,
Q138580916,Asian American and Pacific Islander studies,Q41870,ethnic studies,,,,,,,,,,,,,,
Q4806576,Asian American studies,Q1143546,cultural studies,,,,,,,,,,,AsianAmericanStudies,,,
Q105396037,Asian and African studies,Q928786,area studies,,,,,,,,,,,,,,
Q100709157,Asian law,Q7748|Q4932206,law|jurisprudence,,,,,,,sh91005264,,,,,,KM1-KM999,
Q149512,Asian literature,Q8242,literature,Q149806,culture of Asia,,,,,sh85095618,,,,,,,
Q4806809,Asian studies,Q928786|Q476294,area studies|oriental studies,,,,,,,,,,01563056n,AsianStudies,,,
Q156859,Assyriology,Q4752891,ancient Near Eastern studies,,,,,,4143231-9,sh85008834,892.1|492.1,,,Assyriology,,,
Q121046284,Assyriology,Q156859,Assyriology,,,,,,,,,,,,,,
Q98593295,Atlantic Canada studies,Q928786|Q4676302,area studies|Canadian studies,,,,,,,,,,,,,,
Q778187,Atmospheric dispersion modeling,Q1116876,scientific modeling,,,,,,7508323-1,,,,,AtmosphericDispersionModeling,,,
Q1151533,"Atomic, molecular, and optical physics",Q413,physics,,,Q113041763|Q3236337,atomic and molecular physics|optical physics,,,,,,,AtomicMolecularAndOpticalPhysics,,,
Q205143,Australian Aboriginal languages,Q645304|Q1121537,indigenous language|languages of Australia,Q113192749,"Aboriginal and Torres Strait Islander culture, language and history",,,,4143667-2,sh85009639,499.15,300387892,02809210n,AustralianLanguageFamily,,,
Q4825228,Australian studies,Q1595873|Q1143546,domestic studies|cultural studies,,,,,,,,,,,AustralianStudies,,,regional_language_variant
Q9162435,Austronesian studies,Q476294,oriental studies,,,,,,,,,,,,,,
Q104870168,Automation in construction,Q385378,construction,,,,,,,,,,,,,,
Q110259434,Automotive engineering materials,Q124192|Q228736,automotive engineering|materials science,,,,,,,,,,,,,,
Q137918344,Avestan studies,,,,,,,,,,,,,,,,
Q24901047,Bachelor of Letters,,,,,,,,,,,,,,,,
Q27779502,Bahá'í studies,Q476294,oriental studies,Q22679,Baháʼí Faith,,,,,,,,,,,,
Q464974,Balkan studies,Q928786|Q15075764,area studies|European ethnology (Volkskunde),,,,,,4143942-9,,,,,,,,
Q18110384,Bangla studies,Q625510,Indology,,,,,,,,,,,,,,
Q4867057,Basic writing,,,,,,,,,,,,,,,,
Q4874481,Bayesian statistics,,,Q12483,statistics,,,,,,,,,,,QA279.5,
Q133878530,Behavioral law and economics,Q295354|Q647525,law and economics|behavioral economics,,,,,,,,,,,,,,
Q110259463,Behavioural epidemiology,Q133805|Q3919817,epidemiology|behavioral sciences,,,,,,,,,,,,,,
Q2350342,Belarusian literature,Q8242,literature,Q1445079,culture of Belarus,,,,7508023-0,sh85018440,891.799,,,,,,
Q816139,Belarusian studies,Q156864,Slavic studies,,,,,,,,,,,,,,
Q136753014,Belief studies,,,,,,,,,,,,,,,,
Q680555,Berber literature,Q8242|Q93693589,literature|Berber culture,,,,,,,sh85013287,893.3,,,,,,
Q2482496,Berestology,,,Q179957,palaeography,,,,,,,,,,,,
Q136466753,Biasology,Q27333716|Q301751,Philosophy of psychiatry|critical sociology,,,,,,,,,,,,,,
Q47489173,Bible as literature,Q794605|Q373665|Q1965350,biblical studies|biblical criticism|narrative criticism,,,,,,,,,,,,,,
Q366732,Bible study,Q2270606,spiritual practice,,,,,,,,,,,,,,
Q110895422,Biodiscovery,,,,,,,,,,,,,,,,
Q112969963,Biogeography and phylogeography,,,,,Q52106|Q377756,biogeography|phylogeography,,,,,,,,,,
Q106508917,Biogerontology,Q10387,gerontology,,,,,,,,,,,,,,
Q423731,Biographical evaluation,,,Q2737409,science of hadith,,,,,,,,,,,,
Q110231341,Bioinformatics and computational biology,Q420,biology,,,Q128570|Q177005,bioinformatics|computational biology,,,,,,,,,,
Q107292784,Biomagnetics,Q7108,biotechnology,,,,,,,,,,,,,,
Q112933755,Biosecurity science and invasive species ecology,Q113114755,ecological applications,,,Q112933724|Q803874,Invasive Species Ecology|biosecurity,,,,,,,,,,
Q110955047,Black Canadian studies,Q1143546,cultural studies,,,,,,,,,,,,,,
Q47011897,Black Loch Crannog,,,,,,,,,,,,,,,,
Q191076,Bose-Einstein statistics,,,,,,,,4146391-2,,530.474,,,,,,
Q136455925,Brazilian studies,Q1721024,Portuguese studies,,,,,,,,,,,,,,
Q112939639,British and Irish literature,,,,,Q764912|Q683732,British literature|Irish literature,,,,,,,,,,
Q764912,British literature,Q8242,literature,Q112939639,British and Irish literature,,,,7503210-7,,,,,,,,regional_language_variant
Q4971458,British studies,,,,,,,,,,,,,BritishStudies,,,regional_language_variant
Q114562193,Brussels studies,Q928786|Q23578769|Q1377029,area studies|urban studies|European studies,,,,,,,,,,,,,,
Q1000976,Buddhist studies,Q34187,religious studies,,,,,,4755247-5,,,,,BuddhistStudies,,,
Q5258544,Buddhology,Q34187,religious studies,,,,,,,,,,,,,,
Q2882044,Buffy studies,Q2065951,television studies,,,,,,,,,,,,,,
Q112969975,Building information modelling and management,Q385378,construction,,,,,,,,,,,,,,
Q4098870,Bulgakov studies,Q208217,literary studies,,,,,,,,,,,,,,
Q2267821,Bulgarian literature,Q7539371,Slavic literature,Q2588810,culture of Bulgaria,,,,,sh85017905,891.81,,,,,,
Q4090659,Bulgarian studies,Q156864|Q464974,Slavic studies|Balkan studies,,,,,,4146908-2,,,,,,,,
Q113408511,Bunin studies,Q208217,literary studies,,,,,,,,,,,,,,
Q115669827,Burkina Faso studies,,,,,,,,,,,,,,,,
Q4999358,Burma studies,Q7569309,Southeast Asian studies,,,,,,,,,,,,,,
Q115669332,Cameroon studies,,,,,,,,,,,,,,,,
Q1723523,Canadian literature,Q8242,literature,Q113128838,North American literature,Q115160921|Q115154799,Canadian literature in French|Canadian literature in English,845111,,sh85019388,,,,,,,regional_language_variant
Q4676302,Canadian studies,Q928786|Q27968|Q1277348,area studies|English studies|Romance studies,,,Q1723523|Q2945|Q1103954|Q276861,Canadian literature|history of Canada|culture of Canada|politics of Canada,,7686561-7,,427.971|810,,,,,,regional_language_variant
Q112939624,Cancer cell biology,Q85709956|Q7141,cancer biology|cell biology,,,,,,,,,,,,,,
Q115669342,Cape Verde studies,,,,,,,,,,,,,,,,
Q85710429,Caribbean studies,Q28617|Q928786,Latin American studies|area studies,,,,,,,,,,,,,,regional_language_variant
Q124610402,Cartographic Communication,Q42515,cartography,,,,,,,,,,,,,,
Q2690276,Cartographic Semiology,,,,,,,,,,,,,,,,
Q124623978,Cartography & GIS,Q124624035,studies in cartography,Q106387954,earth science studies,,,,,,,,,,,,
Q1735560,Catalan philology,Q24260742|Q40634,catalanistics|philology,,,,,,4249908-2,,,,,,,,
Q591016,Catholic Bible,Q5110307,Christian biblical canons,,,Q14405870|Q18813|Q128872415|Q492663,Catholic Old Testament|New Testament|longer ending of the Gospel of Mark|Jesus and the woman taken in adultery,,,,,,,,,,
Q14405870,Catholic Old Testament,,,,,Q42614|Q47680|Q81240|Q80038|Q43099|Q41490|Q9190|Q9184|Q1975029|Q209719|Q131066|Q209746|Q9813916|Q209720|Q131635|Q131640|Q131737|Q202129|Q131068|Q5615312|Q161985|Q209748|Q4577|Q41064|Q4579|Q131072|Q51670|Q202135|Q155980|Q131458|Q131590|Q179058|Q211746|Q757010|Q178390|Q80115|Q912549|Q184030|Q131643|Q174677|Q174753|Q178819|Q178076|Q179755|Q179760|Q188563|Q178338|Q179769|Q51675,Deuteronomy|Joshua|Judges|Book of Ruth|Book of Numbers|Leviticus|Exodus|Book of Genesis|First Book of Samuel|Second Book of Samuel|First Book of Kings|Second Book of Kings|First Book of Chronicles|Second Book of Chronicles|Book of Ezra|Book of Nehemiah|Book of Tobit|Book of Judith|Book of Esther|Additions to Esther|1 Maccabees|2 Maccabees|Book of Job|Psalms|Proverbs|Ecclesiastes|Song of Songs|Book of Wisdom|Sirach|Isaiah|Jeremiah|Lamentations|Book of Baruch|Letter of Jeremiah|Ezekiel|Book of Daniel|Additions to Daniel|Book of Hosea|Book of Joel|Amos|Book of Obadiah|Book of Jonah|Book of Micah|Book of Nahum|Book of Habakkuk|Book of Zephaniah|Book of Haggai|Book of Zechariah|Book of Malachi,,,,,,,,,,
Q5775590,Catholic dogmatic theology,Q1367940|Q938714,Catholic theology|dogmatic theology,Q5775678|Q1517265,history of Christian theology|history of the Catholic Church,,,,,,,,,,,,
Q25109832,Catholic ecclesiology,Q223693,ecclesiology,Q223693,ecclesiology,,,,,,,,,,,,
Q118874912,Catholic studies,,,,,,,,,,,,,,,,
Q1367940,Catholic theology,Q216545,Christian theology,,,,,,4030005-5,,,,00848908n,,,,
Q112956335,Cellular interactions,Q7141,cell biology,,,,,,,,,,,,,,
Q5058556,Celtic literature,Q8242,literature,Q9706709,Celtic culture,,,,,,891,,,,,,
Q27997,Celtic studies,Q40634,philology,,,,,,4163569-3,,,,,CelticStudies,,,
Q5060376,Central Asian studies,Q4806809,Asian studies,,,,,,,,,,,CentralAsianStudies,,,
Q23019169,Central European studies,Q1377029,European studies,,,,,,,,,,,,,,
Q48127094,Chekhov studies,Q208217,literary studies,,,,,,,,,,,,,,
Q5095927,Chicana/o studies,Q23010571,"Hispanic-American, Puerto Rican, and Mexican-American/Chicano studies",,,,,1019157,,sh85084494,,,,ChicanoStudies,,,
Q5097921,Child safeguarding,Q21010924,safety precaution,,,,,,4132262-9,,,,,,,,
Q5369632,Chinese Classical Studies,Q9581,Confucianism,,,,,,,,,,,,,,
Q756615,Chinese art,Q13150034,art of the Earth,Q12781386,arts of China,,,,,sh85007599,709.51,,,,,,
Q576921,Chinese classics,Q10863072,Q10863072,,,,,,,sh85024259|sh85024324,,,,,,,
Q30921574,Chinese epigraphy,Q181260,epigraphy,,,,,,,,,,,,,,
Q133908,Chinese historiography,Q50675,historiography,,,,,,,sh2008100544,,,,,,,
Q2135373,Chinese law,,,,,Q835068|Q6503489,law of the People's Republic of China|Law of Taiwan,,,sh2008106431,,,,,,,
Q67312597,Chinese lexicology,,,Q178433,lexicology,,,,,,,,,,,,
Q456012,Chinese literature,Q15945785,East Asian literature,Q15945785,East Asian literature,Q1069928,Chinese poetry,,7507839-9,sh85024323,895.1,,00756275n,,Chinese_Literature,,
Q1069928,Chinese poetry,Q456012|Q482,Chinese literature|poetry,Q456012,Chinese literature,Q19855762|Q6888589,poetry in Classical Chinese|Modern Chinese poetry,,,,,,,,,,
Q5110307,Christian biblical canons,Q1845,Bible,,,,,,,sh85013589,,,,,,,
Q5110315,Christian counseling,Q7143049|Q183257,pastoral counseling|psychotherapy,,,,,,,,,,03330244n,,,,
Q124399811,Christian economic ethics,,,Q85033220|Q216545,economic ethics|Christian theology,,,,,,,,,,,,
Q2665156,Christian ethics,Q14254438|Q216545|Q4392985,religious ethics|Christian theology|religious identity,,,,,,4078249-9,,,,,,,BJ1188.5-BJ1278.5|BV4622-BV4780,
Q104467841,Christian leadership,,,Q484275,leadership,,,,,,,,,,,,
Q110419499,Christian studies,Q1377029|Q34187,European studies|religious studies,,,,,,,,,,,,,,
Q216545,Christian theology,Q34178,theology,,,Q5405836,Eucharistic theology,1149559,,sh85134665,230,,,ChristianTheology,,BR118-BR119.2,
Q12056112,Church Slavonic literature,Q8242,literature,,,,,,,,,,,,,,
Q136505556,Cinematic Taxonomy,,,,,,,,,,,,,,,,
Q1093900,CityGML,Q494823,data format,,,,,,,,,,,,,,
Q5124771,Civionics,Q2858615,electronic device,,,,,,,,,,,,,,
Q120969801,Claims,,,,,,,,,,,,,,,,
Q8011708,Classical Chinese semantics,Q40634|Q10958685,philology|Q10958685,,,,,,,,,,,,,,
Q112939719,Classical Greek and Roman history,Q309,history,Q7787,history of Europe,Q830852|Q7798,history of ancient Rome|History of ancient Greece,,,,,,,,,,
Q48550423,Classics,,,,,,,,,,,,,,,,
Q116457479,Claudel studies,Q208217,literary studies,,,,,,,,,,,,,,
Q5133463,Climate change and ecosystems,,,,,,,,,,,,,,,,
Q110469028,Climate change law,Q328798,environmental law,,,,,,,,,,,,,,
Q112939741,Climate change processes,Q112939747,Climate change science,,,,,,,,,,,,,,
Q112939747,Climate change science,Q52139,climatology,,,,,,,,,,,,,,
Q115827802,Coastal hydrogeology,Q179509,hydrogeology,,,,,,,,,,,,,,
Q124610929,Cognitive cartography,Q42515,cartography,,,,,,,,,,,,,,
Q5145857,Collaborative software development model,Q2904257,software development process,,,,,,,,,,,,,,
Q30693854,Community Governance,Q1553864,governance,,,,,,,,,,,,,,
Q136759127,Computational Aesthetics,Q35986|Q279438,aesthetics|philosophy of technology,,,,,,,,,,,,,,
Q120969791,Computational folkloristics,,,,,,,,,,,,,,,,
Q110259460,Computational physiology,Q521|Q117801,physiology|computational science,,,,,,,,,,,,,,
Q131289096,Computer technology,Q85753733,computing education,,,,,,,,,,,,,,
Q83370911,Comunicação Empresarial e Relações Públicas,Q1426058|Q133080,corporate communication|public relations,,,,,,,,,,,,,,
Q5159047,Concrete Industry Management,Q8188423|Q4489420,business administration and management|industrial engineering,,,,,,,,,,,,,,
Q9581,Confucianism,Q307043,Eastern philosophy,,,Q11505780|Q8282056|Q825754|Q1195567|Q11355410|Q7264335,Confucianism in Japan|Confucianism in Indonesia|Neo-Confucianism|Korean Confucianism|three virtues of Confucianism|Three Essentials and Five Virtues,,4032089-3,sh85031069,181.112|299.512,300143430,,Confucianism,Confucianism,BL1830-BL1883|B127.C65,
Q115669378,Congolese studies (Democratic Republic of Congo),,,,,,,,,,,,,,,,
Q124811051,Conservation Biogeography,Q52106,biogeography,,,,,,,,,,,,,,
Q110408090,Conservation of Pacific Peoples heritage,Q110408063|Q217102,"Pacific Peoples culture, language and history|restoration",,,,,,,,,,,,,,
Q60416418,Conservation paleobiology,,,,,,,,,,,,,,,,
Q105664419,Construction Technology,Q385378,construction,,,,,,,,,,,,,,
Q55338315,Contemporary Mediterranean Studies,Q1377029,European studies,,,,,,,,,,,,,,
Q2039116,Copernican period,,,Q386638,lunar geologic timescale,,,,,,,,,,,,
Q1784169,Coptology,Q476294|Q439072,oriental studies|classical studies,,,Q757248,papyrology,,4165291-5,,,,,,,,
Q20122804,Creative technology,,,,,,,,,,,,,,,,
Q136831153,Critical Fiction,Q102686|Q17737,hermeneutics|theory,Q136818501,theoretical disappropriation,Q136831498|Q136831273,Hermeneutic Metanoia|Cultural Self-Phagy,,,,,,,,,,
Q5186692,Critical applied linguistics,Q301751,critical sociology,,,Q321249,applied linguistics,,,,,,,,,,
Q5186711,Critical ethnography,Q301751,critical sociology,,,Q132151,ethnography,,,,,,,,,,
Q1140539,Critical legal studies,Q4932206|Q847034,jurisprudence|sociology of law,,,,,,7587041-1,,,,,,,,
Q13221620,Croatian literature,Q8242,literature,,,,,,,,,,,,,,
Q575929,Croatian studies,Q156864|Q114342310,Slavic studies|croatology,Q156864|Q114342310,Slavic studies|croatology,,,,,,,,,,,,
Q112956198,Crop and pasture biochemistry and physiology,Q110252479|Q521|Q7094,crop and pasture production|physiology|biochemistry,,,,,,,,,,,,,,
Q5191417,Crystal structure prediction,Q160398,crystallography,,,,,,,,,,,,,,
Q131544729,Cultural Resources Studies,,,,,,,,,,,,,,,,
Q136831273,Cultural Self-Phagy,Q9471,epistemology,Q136831181,Epistemology of the Image,,,,,,,,,,,,
Q120910082,Cultural heritage access,,,,,,,,,,,,,,,,
Q64869177,Culture and communication,Q1143546|Q11680831,cultural studies|communication studies,,,,,,,,,,,,,,
Q113001573,"Culture, representation and identity",Q1143546,cultural studies,,,,,,,,,,,,,,
Q112976895,Curriculum and pedagogy theory and development,Q110542446,curriculum and pedagogy,,,Q5195145|Q16911265,curriculum theory|curriculum development,,,,,,,,,,
Q282445,Czech literature,Q8242,literature,,,,,,,sh85035275,891.86,,,,,,
Q59068,Czech studies,Q16872093,West Slavic Studies,Q16872093,West Slavic Studies,,,,4186370-7,,,,,,,,
Q120910095,DEO,,,,,,,,,,,,,,,,
Q120969808,DL reasoners,,,,,,,,,,,,,,,,
Q5225989,Darwin Industry,,,Q201486,history of science,,,,,,,,,,,,
Q840067,Defeasible reasoning,,,,,,,,,,,,,,,,
Q24833600,Department of Industrial Management,,,,,,,,,,,,,,,,
Q120910091,Description logic programs,,,,,,,,,,,,,,,,
Q3011219,Design for X,Q1043226,product design,,,Q1521829,remanufacturing,,,,,,,DesignForX,,,
Q136715992,Didactics of Religious Education in Schools,Q7921,didactic method,,,,,,,,,,,,,,
Q136758824,Digital Epistemology,Q9471|Q279438,epistemology|philosophy of technology,Q279438,philosophy of technology,Q136744792|Q136745151,algorithmic canonization|machine-readable theory,,,,,,,,,,
Q104869363,Disability anthropology,,,Q23404,anthropology,,,,,,,,,,,,
Q120910080,Discourse relations,,,,,,,,,,,,,,,,
Q115669401,Djiboutian studies,,,,,,,,,,,,,,,,
Q2754873,Doctor of Both Laws,Q2248352|Q959320|Q4115013,Doctor of Science|Doctor of Laws|law degree,,,,,,,,,,,,,,
Q959320,Doctor of Laws,Q849697|Q4115013,doctorate|law degree,,,,,,,,,,00028002n,,,,
Q2248352,Doctor of Science,Q849697,doctorate,,,,,,,,,,,,,,
Q120969788,Document similarity,,,,,,,,,,,,,,,,
Q1128227,Dravidian studies,Q625510,Indology,,,,,,,,,,,,,,
Q119285919,Dress history,Q1066186,study of history,,,,,,,,,,,,,,
Q839477,Dunhuangology,Q269915,sinology,,,,,,,,,,,,,,
Q1987969,Dutch studies,Q2620112,Germanic philology,,,,,,4283850-2,,,,,,,,
Q113208985,Dynamical systems applications,Q33521,applied mathematics,,,,,,,,,,,,,,
Q3734933,EU project management,Q179012,project management,,,,,,,,,,,,,,
Q113098010,Earth and space science informatics,Q918779,geoinformatics,,,Q110108177,space science informatics,,,,,,,,,,
Q8008,Earth science,Q107287417|Q7991,earth and planetary science|natural science,,,,,900729,4020288-4|4131991-6,sh85040468,550,300054542,00029440n,EarthScience,,,
Q3013544,Earth systems engineering and management,,,,,,,,,,,,,,,,
Q15945785,East Asian literature,Q149512,Asian literature,,,,,,,,,,,,,,
Q162817,East Asian studies,Q4806809,Asian studies,,,,,,4312428-8,,,,02575816n,,,,
Q84505214,East Asian studies scholar,Q1731155,orientalist,,,,,1740745,4495097-4|1201786878,sh2006003329,,,,,,,
Q1440799,Eastern Church Studies,Q34178,theology,,,,,,,,,,,,,,
Q1413113,Eastern European studies,Q1377029,European studies,,,,,,,,,,,,,,
Q3250393,Eastern religions,Q9174,religion,,,,,,,,,,,,,,
Q113732282,Eathworms study,Q431,zoology,,,,,,,,,,,,,,
Q11551012,Edo studies,,,,,,,,,,,,,,,,
Q145903,Egyptology,Q4752891|Q23498,ancient Near Eastern studies|archaeology,,,Q757248,papyrology,,4141476-7,sh85041367,893.1|932|493.1,300264391,,Egyptology,,,
Q11616914,Eigaku,Q27968,English studies,,,,,,,,,,,,,,
Q55455579,El Comité,,,Q135294248,Red de instituciones comitanas,,,,,,,,,,,,
