qid,label,statement_count,property_count,with_qualifiers,with_references,qualifier_rate,reference_rate,unsupported_statement_count,unsupported_pair_rate,unsupported_pairs,status
Q104834716,Battle near Osca,8,7,3,0,0.375000,0.000000,0,0.000000,{},pass
Q1055755,Battle of Ilipa,14,13,6,2,0.428571,0.142857,0,0.000000,{},pass
Q106113087,Master of Arts in Ancient Greek and Roman Studies (Brandeis University),24,11,1,7,0.041667,0.291667,0,0.000000,{},pass
Q106841885,half-stater,12,8,0,4,0.000000,0.333333,0,0.000000,{},pass
Q107013169,religion in ancient Rome,11,8,1,2,0.090909,0.181818,0,0.000000,{},pass
Q107342906,Roman conquest of Gallaecia,8,6,2,0,0.250000,0.000000,0,0.000000,{},pass
Q107468361,Alyson Maureen Roy,22,13,11,9,0.500000,0.409091,0,0.000000,{},pass
Q109377210,Siege of Antioch,8,7,2,0,0.250000,0.000000,0,0.000000,{},pass
Q110572348,Cicero And The Fall Of The Roman Republic,20,18,3,0,0.150000,0.000000,0,0.000000,{},pass
Q111666120,Extra: Dr. Emma Southon on murder in ancient Rome,18,12,1,0,0.055556,0.000000,0,0.000000,{},pass
Q111666121,"Der Senat, der über Leichen ging",19,13,2,0,0.105263,0.000000,0,0.000000,{},pass
Q112998934,Template:Country data Roman Republic,2,2,0,0,0.000000,0.000000,0,0.000000,{},pass
Q11320126,didrachm,14,12,0,5,0.000000,0.357143,0,0.000000,{},pass
Q113842043,Thibaud Lanfranchi,48,42,7,24,0.145833,0.500000,0,0.000000,{},pass
Q11688220,Battle of Petelia,9,8,0,4,0.000000,0.444444,0,0.000000,{},pass
Q1184835,Battle of Numistro,10,9,2,5,0.200000,0.500000,0,0.000000,{},pass
Q11905280,,4,4,0,0,0.000000,0.000000,0,0.000000,{},pass
Q11908712,Batlle of Emporion,9,8,1,1,0.111111,0.111111,0,0.000000,{},pass
Q11908765,Battle of Rhode,9,8,1,1,0.111111,0.111111,0,0.000000,{},pass
Q11945466,Iberian revolt,10,8,3,1,0.300000,0.100000,0,0.000000,{},pass
Q11948139,Seleuceia in Cilicia,18,13,4,0,0.222222,0.000000,0,0.000000,{},pass
