qid,label,description
Q27642681,Wikidata property related to protected areas,type of Wikidata property
Q27659414,Wikidata property related to fashion,Wikidata property
Q27698571,Wikidata property related to chess,Wikidata property
Q27870307,Wikidata property related to student registries,type of Wikidata property
Q27886949,Wikidata property related to racket sports,Wikidata property
Q27918607,Wikidata property related to art,Wikidata property
Q27968522,Wikidata property for items about cell lines,Wikidata metadata
Q28100241,Wikidata property related to disasters,type of Wikidata property
Q28100549,Wikidata property to describe the elements of identity,type of Wikidata properties describing the ways two items overlap (or don't)
Q28104992,Wikidata property related to spacecraft,type of Wikidata property
Q28106456,Wikidata property related to sports people,Wikidata property
Q28106485,Wikidata property related to sport facilities,Wikidata property
Q28106586,Wikidata property related to sports events,Wikidata property
Q28146956,Wikidata property to identify musical works,Wikidata property what identify musical works
Q28147643,Wikidata property related to video games,Wikidata property
Q28326730,Wikidata property for the relationship of the element to its class,type of Wikidata property
Q28464773,Wikidata property to describe media items,"property to describe media such as Commons files (i.e., the media file is the subject of this property). To link to media items, use Q18610173."
Q28549561,Wikidata property related to basketball,Wikidata property
Q28600002,Wikidata property related to winter sports,Wikidata property
Q28606291,Wikidata property related to combat sports,type of Wikidata property
Q28648960,Wikidata property related to American football,type of Wikidata property
Q28648966,Wikidata property related to golf,type of Wikidata property
Q28649017,Wikidata property related to baseball,type of Wikidata property
Q28649019,Wikidata property related to ice hockey,type of Wikidata property
Q28649023,Wikidata property related to women's sport,Wikidata property
Q28649030,Wikidata property related to women and feminism,type of Wikidata property
Q28739677,Wikidata property related to lighthouses,Wikidata property
Q28746712,Wikidata property for causes and effects,type of Wikidata property
Q28762481,Wikidata property related to tennis,type of Wikidata property
Q28772038,Wikidata property related to athletics,Wikidata property
Q28772046,Wikidata property related to water sports,Wikidata property
Q28878279,Wikidata property related to rugby union,Wikidata property
Q28902389,Wikidata property related to comics,Wikidata property
Q28919033,Wikidata property for items about algorithms,type of Wikidata property
Q29110152,Wikidata property related to tourism,Wikidata property
Q29446361,Wikidata property related to bridges,type of Wikidata property
Q29542094,Wikidata property to identify films,Wikidata property
Q29546443,Wikidata property for items about books,type of Wikidata property
Q29546563,Wikidata property for items about manuscripts,type of Wikidata property
Q29547399,Wikidata property to identify books,type of Wikidata property
Q29548341,Wikidata property for items about scholarly articles,type of Wikidata property
Q29561722,Wikidata property related to literature,Wikidata property
Q29642812,Wikidata property related to the United Nations,properties for codes issued by or about the United Nations
Q29868164,Wikidata property related to motorsports,type of Wikidata property
Q29887391,Wikidata property related to linguistics,Wikidata property
Q29963999,Wikidata property related to in-narrative data,"data that is true within the fictional world described in a work, as opposed to objective facts about the work itself"
Q30025373,Wikidata property related to utilization and ownership,type of Wikidata property
Q30041186,Wikidata property related to online communities,Wikidata property
Q30225604,Wikidata property related to a National Olympic or Paralympic Committee,type of Wikidata property
Q30225619,Wikidata property related to Olympism,type of Wikidata property
Q30249126,Wikidata property for ontology mapping,used to map Wikidata items and properties to external ontologies
Q37911748,partially deprecated Wikidata property,property that is deprecated for certain uses but not obsolete
Q41583306,Wikidata property related to volleyball,type of Wikidata property
Q41600015,Wikidata property related to a sports hall of fame,Wikidata property
Q41657848,Wikidata property related to handball,Wikidata property
Q41693989,Wikidata property related to cricket,type of Wikidata property
Q41791933,Wikidata property related to television,type of Wikidata property
Q41799791,Wikidata property related to astronomy,type of Wikidata property
Q41804262,Wikidata property related to gastronomy,type of Wikidata property
Q42255152,Wikidata property related to disability,type of Wikidata property
Q42396390,Wikidata property to identify taxa,external identifier of taxa (groups of biological organisms)
Q42415497,Wikidata property to identify genes,type of Wikidata property
Q42415644,Wikidata property to identify proteins,type of Wikidata property
Q42428050,Wikidata property related to precision sports,type of Wikidata property
Q42428442,Wikidata property related to college sports,type of Wikidata property
Q42428590,Wikidata property to identify astronomical objects,type of Wikidata property
Q42752243,Wikidata property related to anatomy,type of Wikidata property
Q42752262,Wikidata property related to human anatomy,type of Wikidata property
Q43544041,Wikidata property related to Australian rules football,type of Wikidata property
Q43546017,Wikidata property related to gymnastics,type of Wikidata property
Q43831109,Wikidata property related to architecture,type of Wikidata property
Q44597997,property likely to be challenged,when this property is used with items of living people it's likely to be challenged; as a result those statements should be supported by a reliable public source as suggested in Wikidata:Living people
Q44606430,Wikidata property in special need of sourcing,type of Wikidata property
Q44606558,"Wikidata property in special need of sourcing, for items about people",type of Wikidata property
Q44847669,Wikidata property to identify artworks,type of Wikidata property for authority control
Q45312863,Wikidata property related to sculpture,Wikidata property
Q45484922,Wikidata property for authority control for cemeteries,type of Wikidata property
Q45818495,Wikidata property for items about skills,type of Wikidata property
Q46246642,Wikidata property related to archaeology,Wikidata property
Q46275839,Wikidata property related to theater,type of Wikidata property
Q46641179,Wikidata property related to dams,type of Wikidata property
Q46895781,Wikidata property related to birds and ornithology,type of Wikidata property
Q47512165,Wikidata property related to computing,Wikidata property
Q48710051,Wikidata property for an identifier having a checksum,type of Wikidata property
Q50361974,Wikidata property related to snooker,Wikidata property
Q50362259,Wikidata property related to rugby sevens,Wikidata property
Q51077473,Wikidata property related to time and duration,type of Wikidata property
Q51077484,Wikidata property related to age,type of Wikidata property
Q51089849,Wikidata property related to weapons and military equipment,type of Wikidata property
Q51092447,Wikidata property related to ratios and proportions,type of Wikidata property
Q51092639,Wikidata property related to phonetics,type of Wikidata property
Q51118703,Wikidata property about Wikimedia templates,type of Wikidata property
Q51118821,Wikidata property about Wikimedia entities,type of Wikidata property
Q51121942,Wikidata property related to typefaces and typography,type of Wikidata property
Q51122237,"Wikidata property related to burials, graves, and memorials",type of Wikidata property
Q51122921,Wikidata property related to processes and manufacturing,type of Wikidata property
Q51124294,Wikidata property related to paleontology,Wikidata property
Q51326087,Wikidata property related to banking,type of Wikidata property
Q51920440,Wikidata property for items about lakes,type of Wikidata property
Q52063969,Wikidata property to identify topics,type of Wikidata property
Q52425722,Wikidata property related to natural science,Wikidata property
Q52431918,Wikidata property related to seismology,Wikidata property
Q52511956,Wikidata property related to geography,type of Wikidata property
Q52513243,Wikidata property for quantities,Wikidata property
Q52514469,Wikidata property related to personal life,Wikidata property
Q53671196,Wikidata property related to erotica or pornography,type of Wikidata property
Q54076056,Wikidata property for lexicographical data,Wikidata property used for any kind of lexicographical data
Q54254515,Wikidata property for lexemes,primarily used on Wikidata lexemes
Q54275221,Wikidata property for lexicographic forms,primarily used on Wikidata forms
Q54275340,Wikidata property for lexicographic senses,primarily used on Wikidata senses
Q54290695,Wikidata property related to insects and entomology,Wikidata property
Q54835335,Wikidata property related to philosophy,type of Wikidata property
Q55082570,Wikidata property to identify databases,property storing identifiers about databases
Q55116891,Wikidata property related to poetry,Wikidata property
Q55192982,Wikidata property related to historiography,type of Wikidata property
Q55452870,Wikidata property related to encyclopedias,Wikidata property
Q55586529,Wikidata property for authority control by VIAF member,Wikidata property for authority control related to a VIAF member or source
Q55650689,Wikidata property for authority control for writers,Wikidata property
Q55653847,Wikidata property for authority control for artists,type of Wikidata property for authority control for people
Q55663163,Wikidata property related to television programs,Wikidata property
Q55663533,Wikidata property to identify television shows,type of Wikidata property
Q55977691,Wikidata property for authority control for administrative subdivisions,Wikidata property for authority control of places
Q55977774,Wikidata property for authority control for public roads,type of Wikidata property
Q55978235,Wikidata property for authority control for protected areas,type of Wikidata property
Q55978503,Wikidata property for authority control for countries,type of Wikidata property
Q55978551,Wikidata property for authority control for places of worship,type of Wikidata property
Q55999460,Wikidata property for authority control for the media,Wikidata property
Q56150830,"Wikidata property related to awards, prizes and honours",Wikidata property
Q56216056,Wikidata property to identify lexicographical entities,external identifier for a lexeme or form
Q56216473,Wikidata property for authority control for architects,type of Wikidata property
Q56245078,Wikidata property for authority control for museums,type of Wikidata property
Q56248867,Wikidata property related to the Middle Ages,type of Wikidata property
Q56248884,Wikidata property related to the Ancient World,Wikidata property
Q56248906,Wikidata property related to the Early Modern period,type of Wikidata property
Q56249073,Wikidata property related to genealogy,Wikidata property
Q56249389,Wikidata property to identify railway stations,type of Wikidata property
Q56457408,Wikidata property for items about positions,type of Wikidata property
Q56505345,Wikidata property for authority control for hotels,type of Wikidata property
Q56682212,Wikidata property related to plants and botany,Wikidata property
Q57589544,Wikidata property for authority control for academic journals,type of Wikidata property for authority control for works
Q57633168,Wikidata property related to animals and zoology,Wikidata property
Q57955292,Wikidata property for items about people or organisations,
Q57980177,"Wikidata property related to amphibians, reptiles and herpetology",type of Wikidata property
Q58788038,Wikidata property related to invasive species,type of Wikidata property
Q59284180,Wikidata property related to marine biology,type of Wikidata property
Q59910380,"Wikidata property related to data communication, storage, and retrieval",Wikidata property
Q60457486,Wikidata property for a discontinued website,"the target website of this property is no longer available. It now links to an archived version. If there is no archived version then mark for deletion with ""obsolete Wikidata property"""
Q60464703,Wikidata property related to color,type of Wikidata property
Q61052867,Wikidata property related to airports,Wikidata property
Q61058429,Wikidata property related to science,Wikidata property
Q61996910,Wikidata property related to biathlon,type of Wikidata property
Q62036945,Wikidata property related to auctions,type of Wikidata property
Q62589316,Wikidata property for an identifier that suggests notability,Wikidata property where a legitimate value indicates that the subject is probably notable
Q62589320,Wikidata property for an identifier that does not imply notability,a Wikidata property where a legitimate value does not itself indicate that the subject is notable
Q62606615,Wikidata property related to e-commerce,Wikidata property
Q62619638,Wikidata property linking to external MediaWiki wiki,Wikidata property (identifier or URL) linking to MediaWiki wikis outside of Wikimedia
Q63870987,Wikidata property related to LGBT,Wikidata property
Q63871189,Wikidata property related to sports teams/clubs,Wikidata property
Q63871233,Wikidata property related to aerobatics,Wikidata property
Q63871246,Wikidata property related to equestrianism,type of Wikidata property
Q63871467,Wikidata property related to anime and manga,Wikidata property
Q63873112,Wikidata property related to streaming media services,Wikidata property
Q64025170,Wikidata property related to fictional characters,Wikidata property
Q64169925,Wikidata property related to rugby league,Wikidata property
Q64221137,Wikidata property related to a national football federation,Wikidata property
Q64263681,Wikidata property related to Catholicism and the Catholic Church,Wikidata property
Q64264420,Wikidata property related to Christianity,Wikidata property
Q64289010,Wikidata property related to Buddhism,Wikidata property
Q64291027,Wikidata property related to The Church of Jesus Christ of Latter-day Saints,Wikidata property
Q64292415,Wikidata property related to Lutheranism,Wikidata property
Q64293728,Wikidata property related to Anglicanism,Wikidata property
Q64295974,Wikidata property related to Greek mythology,Wikidata property
Q64348848,Wikidata property related to Judaism and the Jewish people,Wikidata property
Q64349017,Wikidata property related to the Eastern Orthodox Church,Wikidata property
Q64354299,Wikidata property related to Evangelical Christianity,Wikidata property
Q64620662,Wikidata property related to modern pentathlon,Wikidata property
Q64620663,Wikidata property related to lacrosse,Wikidata property
Q64742143,Wikidata property to identify voice actors,Wikidata property
Q64746292,Wikidata property related to animation,Wikidata property
Q64764172,Wikidata property related to rugby,Wikidata property
Q64830420,Wikidata property associated with people,Wikidata property
Q64846109,Wikidata property using many other properties as qualifiers,class of properties with atypical use of other properties
Q65016292,Wikidata property related to boxing,Wikidata property
Q65096064,Wikidata property for an identifier with restricted access,Wikidata property where the formatted URL required an account
Q65947561,Wikidata property related to fencing,Wikidata property
Q65947656,Wikidata property related to triathlon,Wikidata property
Q66116613,Wikidata property to identify audio tracks,Wikidata property
Q66116658,Wikidata property to identify lyrics,Wikidata property
Q66116790,Wikidata property to identify music videos,Wikidata property
Q66117735,Wikidata property to identify musical releases,Wikidata property
Q66117915,Wikidata property to identify bands,Wikidata property
Q66118123,Wikidata property related to music streaming services,Wikidata property
Q66118361,Wikidata property to identify record labels,Wikidata property
Q66118387,Wikidata property to identify composers,Wikidata property
Q66118402,Wikidata property related to record charts,Wikidata property
Q66125160,Wikidata property related to rock and metal,Wikidata property
Q66125161,Wikidata property related to music genres,Wikidata property
Q66125187,Wikidata property for authority control of churches,Wikidata property
Q66266927,Wikidata property for authority control for magazines,Wikidata property
Q66309381,Wikidata property for items about fictional characters,Wikidata property for items describing fictional characters
Q66386615,Wikidata property related to rap and hip hop,Wikidata property
Q66480643,Wikidata property related to box office,Wikidata property
Q66626337,Wikidata property for authority control for thoroughfares,type of Wikidata property
Q66712599,Wikidata property for authority control of musicians and musical ensembles,Wikidata property
Q66728614,Wikidata property related to internet radio,Wikidata property
Q67042573,Wikidata property for authority control for compositions,Wikidata property
Q67155279,Wikidata property of an identifier with a date,Wikidata property
Q67198839,Wikidata property related to podcasts,Wikidata property
Q67205850,Wikidata property for authority control for trails,type of Wikidata property
Q67527144,Wikidata property related to media reviews and content ratings,Wikidata property
Q68573177,Wikidata property related to video game streaming,Wikidata property
Q70564278,"Wikidata property used as ""depicts"" (P180) qualifier on Commons","qualifier for ""depicts"" (P180) on Wikimedia Commons"
Q71866636,Wikidata property to identify video game companies and/or professionals,Wikidata property
Q73688627,Wikidata property related to Islam,type of Wikidata property
Q74568206,Wikidata property related to archives,Wikidata property
Q77585243,Wikidata property related to The Walt Disney Company,Wikidata property
Q78685053,Wikidata property to identify video game franchises,Wikidata property
Q79967257,Wikidata property related to copyright,Wikidata property
Q80447536,Wikidata property to identify anime and manga characters,Wikidata property
Q80491580,Wikidata property for authority control of mangaka,Wikidata property
Q80840868,Wikidata property related to research,Wikidata property
Q84574746,Wikidata property to identify podcast episodes,type of Wikidata proprerty
Q84612171,Wikidata property to identify podcasts,type of Wikidata property
Q84612312,Wikidata property related to video game news websites,Wikidata property
Q84764641,Wikidata property related to websites,type of Wikidata property
Q87668706,Wikidata property to identify association football referees,Wikidata property
Q88206155,Wikidata property for authority control for saints,type of Wikidata property
Q89209418,Wikidata property to identify fictional characters,Wikidata property
Q89560413,Wikidata property related to a thesaurus,Wikidata property
Q89566422,Wikidata property related to agriculture,type of Wikidata property
Q89604788,Wikidata property related to a medical facility,type of Wikidata property
Q93433126,Wikidata property for authority control for politicians,Wikidata property used to identify politicians and politically-involved persons
Q93436926,Wikidata property for authority control for sports people,"Wikidata property used to identify athletes, referees, coaches, and other participants in sport"
Q95388829,Wikidata property related to a library classification (topics),Wikidata property used to associate a topic to the code corresponding to it in a library classification
Q95388859,Wikidata property related to a library classification (single works),"Wikidata property used to associate a single work (book, article, etc.) to the code corresponding to it in a library classification"
Q96192295,Wikidata property widely reused by third-party entities,Wikidata property
Q96533552,Wikidata property related to social science,Wikidata property
Q96776953,Wikidata property for authority control (libraries),"Wikidata property for a system of authority control developed by a library or a library network (for VIAF sources, use Q55586529)"
Q97584729,Wikidata property related to biographical dictionaries,Wikidata property
Q97892178,Wikidata property related to heraldry,type of Wikidata property
Q98929163,Wikidata property related to slavery,type of Wikidata property
Q99192940,Wikidata property related to hiking,type of Wikidata property
Q99543626,Wikidata property for an identifier value that can be re-assigned,"the scheme of this property occasionally reuses the same value for a different entity, e.g. ""zza"" is first used by entity ""A"" then by entity ""B"""
Q99566281,Wikidata property for an identifier value that can be replaced,"the scheme of this property occasionally replaces identifiers with new values, e.g. identifier ""zza"" for entity ""A"" is replaced by ""zzb"", without ""zza"" later being used by another entity"
Q99566538,"Wikidata property for an identifier that generally has just one value, but rarely can have two or more values for the same entity","the scheme of this identifier has generally a 1-1 relation to Wikidata, but occasionally assigns several identifiers for what Wikidata considers the same concept, e.g. concept ""A"" has identifiers ""zza"" and ""zzb"" at the same time"
Q99567026,"Wikidata property with a single value, but different precisions and references can lead to multiple values","the values of this property generally have just one ground truth, but different references or different precisions in references can lead to multiple values, e.g. A is born country A (ref #1), place B in country A (ref #2), or place C (ref #3)"
Q99567847,Wikidata property with a single value that generally evolves over time,"the values for this property can evolve over time, but generally there is just one at a given point in time. Also, different reference can provide a different views or different precisions"
Q100391350,Wikidata property to identify playlists,Wikidata property
Q100698536,Wikidata property to identify libraries,Wikidata property
Q101081817,"Wikidata property to identify anime television shows, episodes and films",Wikidata property
Q101083593,Wikidata property to identify manga,Wikidata property
Q102046040,Wikidata property related to victims,type of Wikidata property
Q102348160,Wikidata property to identify television series episodes,Wikidata property
Q102357699,Wikidata property for authority control for restaurants,type of Wikidata property
Q103824108,Wikidata property about Wikidata entities themselves,"Wikidata property that describe the item or lexeme itself, instead of the subject it described"
Q103979805,Wikidata property to identify bridges,type of Wikidata property
Q104245263,Wikidata property related to graphs,type of Wikidata property
Q104775940,Wikidata property representing video game content ratings,Wikidata property
Q105208489,Wikidata property representing home video content ratings,Wikidata property
Q105208518,Wikidata property representing cinema content ratings,Wikidata property
Q105208538,Wikidata property representing television content ratings,Wikidata property
Q105269280,Wikidata property representing literary content ratings,Wikidata property
Q105271279,"Wikidata property representing trailer, commercial and advertisement content ratings",Wikidata property
Q105271307,Wikidata property representing music content ratings,Wikidata property
Q105388954,Wikidata property to identify online accounts,class of Wikidata properties
Q105406680,Wikidata property representing mobile app and software content ratings,Wikidata property
Q105407800,Wikidata property related to crowdfunding platforms,Wikidata property
Q105672006,Wikidata property to identify music genres,Wikidata property
Q105946994,Wikidata property to identify news website topics,Wikidata property
Q105999567,Wikidata property related to the Sami people,type of Wikidata property
Q105999586,Wikidata property related to ethnic groups or indigenous people,type of Wikidata property
Q105999661,Wikidata property related to African Americans,type of Wikidata property
Q106035765,Wikidata property to identify businesses,Wikidata property used to identify businesses
Q106360873,Wikidata property related to New York City,Wikidata properties related to New York City or its institutions
Q106623077,Wikidata property for authority control for families,Wikidata property
Q106646822,Wikidata property related to subject dictionaries,Wikidata property
Q106653189,Wikidata property for authority control for victims of National Socialism,type of Wikidata property
Q106666993,Wikidata property for websites not accessible in the European Union,Wikidata property
Q106702532,Wikidata property to identify gardens,Wikidata property
Q106827312,Wikidata property related to the Renaissance,Wikidata property
Q106839109,Wikidata property related to mountains and alpine areas,Wikidata property
Q107095360,Wikidata property to identify songs,Wikidata property
Q107156662,Wikidata property related to numismatics,type of Wikidata property
Q107211056,Wikidata property for authority control for academicians,type of Wikidata property
Q107211254,Wikidata property for authority control (publishers),Wikidata property for a system of authority control developed by a publisher
Q107212108,Wikidata property for authority control (academies),Wikidata property for a system of authority control developed by an academy or a learned society
Q107235145,Wikidata property to identify radio programs,Wikidata property
Q107296498,Wikidata property representing television series episode content ratings,type of Wikidata property
Q107316787,Wikidata property to identify personality traits,Wikidata property
Q107337221,Wikidata property of quantity type able to indicate an absolute amount as well as a percentage,type of Wikidata property
Q107338616,Wikidata property related to camping,Wikidata property
Q107363328,Wikidata property for journal rankings,Wikidata property
Q107395292,Wikidata property related to movies and television shows,Wikidata property
Q107417492,Wikidata property related to gender,type of Wikidata property
Q107417519,Wikidata property about subject’s gender,Wikidata property related to the gender of the person that is the subject of a statement
Q107417524,Wikidata property related to third-parties’ gender,Wikidata property related to the gender of person(s) other than the one described by the item that is the subject of a statement
Q107417545,Wikidata property stating third-parties’ gender,"Wikidata property that states the gender of person(s) other than the subject of a statement; e.g., states the gender of a group somehow related to the subject of a statement"
Q107417554,Wikidata property implying third-parties’ gender,"Wikidata property whose value depends on, but does not state (as the object), the gender of person(s) other than the subject of a statement"
Q107543330,Wikidata property related to cemeteries and graves,Wikidata property
Q107642906,Wikidata property related to London,properties related to London or its institutions
Q107642927,Wikidata property related to Los Angeles,properties related to Los Angeles or its institutions
Q107642929,Wikidata property related to Chicago,properties related to Chicago or its institutions
Q107644726,Wikidata property related to Paris,properties related to Paris or its institutions
Q107644775,Wikidata property related to Berlin,type of Wikidata property
Q107708380,Wikidata property for authority control for photographers,type of Wikidata property
Q107737561,Wikidata property to identify sport events,Wikidata property for disambiguating sport events
Q107737592,Wikidata property to identify cycling races,type of Wikidata property
Q107737623,Wikidata property to identify motorsport races,type of Wikidata property
Q107737660,Wikidata property to identify tennis tournaments,type of Wikidata property
Q107737723,Wikidata property for authority control for referees,type of Wikidata property
Q107737736,Wikidata property for authority control for association football coaches,type of Wikidata property
Q107737764,Wikidata property for authority control for basketball coaches,type of Wikidata property
Q107737889,Wikidata property for authority control for sports coaches,type of Wikidata property
Q107738007,Wikidata property for authority control for association football players,type of Wikidata property
Q107738470,Wikidata property for authority control for beach soccer players,type of Wikidata property
Q107738475,Wikidata property for authority control for futsal players,type of Wikidata property
Q107738583,Wikidata property for authority control for sports athletes,type of Wikidata property
Q107738607,Wikidata property for authority control for basketball players,type of Wikidata property
Q107741786,Wikidata property for authority control for cyclists,type of Wikidata property
Q107741870,Wikidata property for authority control for players of American football,type of Wikidata property
Q107741883,Wikidata property for authority control for baseball players,type of Wikidata property
Q107741921,Wikidata property for authority control for chess players,type of Wikidata property
Q107742145,Wikidata property for authority control for ice hockey players,type of Wikidata property
Q107742398,Wikidata property for authority control for athletics competitors,type of Wikidata property
Q107743640,Wikidata property for authority control for tennis players,type of Wikidata property
Q107743712,Wikidata property for authority control for rugby union players,type of Wikidata property
Q107744144,Wikidata property for authority control for rugby sevens players,type of Wikidata property
Q107745776,Wikidata property for authority control for handball players,type of Wikidata property
Q107745801,Wikidata property for authority control for golfers,type of Wikidata property
Q107745820,Wikidata property for authority control for professional wrestlers,type of Wikidata property
Q107745858,Wikidata property for authority control for snooker players,type of Wikidata property
Q107745868,Wikidata property for authority control for cricketers,type of Wikidata property
Q107745973,Wikidata property for authority control for lacrosse players,type of Wikidata property
Q107746008,Wikidata property for authority control for boxers,type of Wikidata property
Q107746027,Wikidata property for authority control for gymnasts,type of Wikidata property
Q107746047,Wikidata property for authority control for Australian rules football players,type of Wikidata property
Q107746165,Wikidata property for authority control for biathletes,type of Wikidata property
Q107746173,Wikidata property for authority control for volleyball players,type of Wikidata property
Q107746239,Wikidata property for authority control for rugby league players,type of Wikidata property
Q107746240,Wikidata property for authority control for modern pentathletes,type of Wikidata property
